program_name,domain,preferred_stream,key_subjects,interests,strengths_required,long_term_goals,competitive_exam,description,required_skills
B.Tech Computer Science,tech,Science (Mathematics),"mathematics,computer science,physics","Web Development, Programming, Technology","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
B.Tech Computer Science,tech,Science (Mathematics),"mathematics,computer science,physics","Web Development, Programming, Technology","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
B.Tech AI & ML,tech,Science (Mathematics),"mathematics,computer science,physics","Coding, Data Analysis, Artificial Intelligence","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Focuses on data analysis, machine learning, and building intelligent systems.","Python, Machine Learning, Statistics, Data Analysis"
B.Tech AI & ML,tech,Science (Mathematics),"mathematics,computer science,physics","Coding, Data Analysis, Artificial Intelligence","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Focuses on data analysis, machine learning, and building intelligent systems.","Python, Machine Learning, Statistics, Data Analysis"
B.Tech Data Science,tech,Science (Mathematics),"mathematics,computer science,physics","Coding, Data Analysis, Artificial Intelligence","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Focuses on data analysis, machine learning, and building intelligent systems.","Python, Machine Learning, Statistics, Data Analysis"
B.Tech Data Science,tech,Science (Mathematics),"mathematics,computer science,physics","Coding, Data Analysis, Artificial Intelligence","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Focuses on data analysis, machine learning, and building intelligent systems.","Python, Machine Learning, Statistics, Data Analysis"
B.Tech IT,tech,Science (Mathematics),"mathematics,computer science,physics","Web Development, Programming, Technology","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
B.Tech IT,tech,Science (Mathematics),"mathematics,computer science,physics","Web Development, Programming, Technology","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
B.Tech Software Engineering,tech,Science (Mathematics),"mathematics,computer science,physics","Learning, General Knowledge","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Tech Software Engineering,tech,Science (Mathematics),"mathematics,computer science,physics","Learning, General Knowledge","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Sc Data Science,tech,Science (Mathematics),"mathematics,computer science,physics","Coding, Data Analysis, Artificial Intelligence","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Focuses on data analysis, machine learning, and building intelligent systems.","Python, Machine Learning, Statistics, Data Analysis"
B.Sc Data Science,tech,Science (Mathematics),"mathematics,computer science,physics","Coding, Data Analysis, Artificial Intelligence","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Focuses on data analysis, machine learning, and building intelligent systems.","Python, Machine Learning, Statistics, Data Analysis"
B.Sc Computer Science,tech,Science (Mathematics),"mathematics,computer science,physics","Web Development, Programming, Technology","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
B.Sc Computer Science,tech,Science (Mathematics),"mathematics,computer science,physics","Web Development, Programming, Technology","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
BCA,tech,Science (Mathematics),"mathematics,computer science,physics","Learning, General Knowledge","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BCA,tech,Science (Mathematics),"mathematics,computer science,physics","Learning, General Knowledge","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Tech Robotics,tech,Science (Mathematics),"mathematics,computer science,physics","Learning, General Knowledge","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
